timestamp,index,memory.used(MiB),util.gpu(%),util.mem(%),temp(C),power(W)
2026/04/14 10:38:53.787, 0, 0, 0, 0, 28, 23.87
2026/04/14 10:38:53.790, 1, 0, 0, 0, 29, 24.71
2026/04/14 10:38:54.794, 0, 0, 0, 0, 28, 23.87
2026/04/14 10:38:54.797, 1, 0, 0, 0, 29, 24.61
2026/04/14 10:38:55.801, 0, 0, 0, 0, 28, 23.97
2026/04/14 10:38:55.812, 1, 0, 0, 0, 28, 24.61
2026/04/14 10:38:56.815, 0, 0, 0, 0, 28, 23.88
2026/04/14 10:38:56.818, 1, 0, 0, 0, 29, 24.61
2026/04/14 10:38:57.822, 0, 0, 0, 0, 28, 23.86
2026/04/14 10:38:57.824, 1, 0, 0, 0, 28, 24.60
2026/04/14 10:38:58.828, 0, 0, 0, 0, 28, 23.97
2026/04/14 10:38:58.837, 1, 0, 0, 0, 29, 24.61
2026/04/14 10:38:59.841, 0, 0, 0, 0, 28, 23.97
2026/04/14 10:38:59.844, 1, 0, 0, 0, 29, 24.61
2026/04/14 10:39:00.848, 0, 0, 0, 0, 28, 23.78
2026/04/14 10:39:00.850, 1, 0, 0, 0, 29, 24.61
2026/04/14 10:39:01.854, 0, 0, 0, 0, 28, 23.97
2026/04/14 10:39:01.865, 1, 0, 0, 0, 29, 24.61
2026/04/14 10:39:02.869, 0, 0, 0, 0, 28, 23.87
2026/04/14 10:39:02.872, 1, 0, 0, 0, 29, 24.61
2026/04/14 10:39:03.875, 0, 0, 0, 0, 28, 23.86
2026/04/14 10:39:03.878, 1, 0, 0, 0, 28, 24.60
2026/04/14 10:39:04.881, 0, 4, 0, 0, 28, 23.87
2026/04/14 10:39:04.892, 1, 4, 0, 0, 28, 24.61
2026/04/14 10:39:05.896, 0, 4, 0, 0, 28, 23.97
2026/04/14 10:39:05.899, 1, 4, 0, 0, 29, 24.61
2026/04/14 10:39:06.902, 0, 4, 0, 0, 28, 23.87
2026/04/14 10:39:06.905, 1, 4, 0, 0, 28, 24.61
2026/04/14 10:39:07.910, 0, 318, 0, 0, 28, 34.26
2026/04/14 10:39:07.915, 1, 318, 0, 0, 29, 35.43
2026/04/14 10:39:08.919, 0, 408, 5, 1, 29, 34.17
2026/04/14 10:39:08.922, 1, 408, 0, 0, 29, 35.53
2026/04/14 10:39:09.925, 0, 1368, 48, 39, 30, 85.49
2026/04/14 10:39:09.928, 1, 1368, 41, 35, 31, 64.84
2026/04/14 10:39:10.932, 0, 1368, 52, 42, 31, 103.57
2026/04/14 10:39:10.936, 1, 1368, 53, 42, 32, 96.16
2026/04/14 10:39:11.940, 0, 1368, 45, 35, 31, 75.10
2026/04/14 10:39:11.943, 1, 1368, 43, 34, 33, 71.51
2026/04/14 10:39:12.947, 0, 1368, 43, 34, 31, 80.86
2026/04/14 10:39:12.950, 1, 1368, 47, 36, 33, 111.06
2026/04/14 10:39:13.955, 0, 1368, 56, 44, 32, 77.08
2026/04/14 10:39:13.957, 1, 1368, 47, 36, 33, 72.70
2026/04/14 10:39:14.961, 0, 1368, 55, 43, 32, 110.33
2026/04/14 10:39:14.964, 1, 1368, 53, 42, 34, 85.87
2026/04/14 10:39:15.968, 0, 1368, 44, 34, 32, 60.72
2026/04/14 10:39:15.971, 1, 1368, 49, 40, 34, 73.54
2026/04/14 10:39:16.975, 0, 1368, 48, 39, 32, 84.98
2026/04/14 10:39:16.979, 1, 1368, 48, 37, 34, 87.54
2026/04/14 10:39:17.984, 0, 1368, 46, 35, 32, 83.07
2026/04/14 10:39:17.987, 1, 1368, 54, 42, 35, 115.34
2026/04/14 10:39:18.990, 0, 1368, 52, 42, 33, 60.59
2026/04/14 10:39:18.993, 1, 1368, 55, 43, 35, 81.04
2026/04/14 10:39:19.997, 0, 2106, 46, 40, 32, 62.05
2026/04/14 10:39:20.000, 1, 2106, 50, 43, 34, 45.95
2026/04/14 10:39:21.003, 0, 2106, 48, 38, 33, 64.19
2026/04/14 10:39:21.007, 1, 2106, 47, 37, 34, 111.15
2026/04/14 10:39:22.013, 0, 2106, 44, 34, 33, 97.55
2026/04/14 10:39:22.016, 1, 2106, 47, 37, 35, 109.46
2026/04/14 10:39:23.020, 0, 2106, 49, 39, 33, 108.86
2026/04/14 10:39:23.023, 1, 2106, 47, 36, 35, 114.19
2026/04/14 10:39:24.027, 0, 2106, 45, 35, 33, 101.50
2026/04/14 10:39:24.029, 1, 2106, 45, 35, 35, 76.59
2026/04/14 10:39:25.033, 0, 2106, 46, 37, 33, 65.99
2026/04/14 10:39:25.036, 1, 2106, 49, 38, 36, 106.48
2026/04/14 10:39:26.040, 0, 2106, 48, 39, 34, 106.39
2026/04/14 10:39:26.043, 1, 2106, 54, 42, 36, 90.34
2026/04/14 10:39:27.049, 0, 2106, 47, 37, 34, 95.52
2026/04/14 10:39:27.052, 1, 2106, 44, 34, 35, 100.87
2026/04/14 10:39:28.057, 0, 2106, 48, 37, 34, 95.52
2026/04/14 10:39:28.060, 1, 2106, 56, 45, 36, 97.57
