pmon_snapshot(pid,sm,mem,enc,dec,command) - sampled every 1s
#Date        Time         gpu         pid   type     sm    mem    enc    dec    jpg    ofa     fb   ccpm    command 
#YYYYMMDD    HH:MM:SS     Idx           #    C/G      %      %      %      %      %      %     MB     MB    name 
 20260414    10:39:35       0    1119772     C     47     37      -      -      -      -   2104      0    python         
 20260414    10:39:35       1    1119773     C     50     39      -      -      -      -   2104      0    python         
 20260414    10:39:36       0    1119772     C     47     37      -      -      -      -   2104      0    python         
 20260414    10:39:36       1    1119773     C     51     40      -      -      -      -   2104      0    python         
 20260414    10:39:37       0    1119772     C     48     38      -      -      -      -   2104      0    python         
 20260414    10:39:37       1    1119773     C     53     41      -      -      -      -   2104      0    python         
 20260414    10:39:38       0    1119772     C     49     39      -      -      -      -   2104      0    python         
 20260414    10:39:38       1    1119773     C     54     42      -      -      -      -   2104      0    python         
 20260414    10:39:39       0    1119772     C     49     38      -      -      -      -   2104      0    python         
 20260414    10:39:39       1    1119773     C     53     42      -      -      -      -   2104      0    python         
#Date        Time         gpu         pid   type     sm    mem    enc    dec    jpg    ofa     fb   ccpm    command 
#YYYYMMDD    HH:MM:SS     Idx           #    C/G      %      %      %      %      %      %     MB     MB    name 
 20260414    10:39:40       0    1119772     C     46     36      -      -      -      -   2104      0    python         
 20260414    10:39:40       1    1119773     C     46     37      -      -      -      -   2104      0    python         
 20260414    10:39:41       0    1119772     C     44     35      -      -      -      -   2104      0    python         
 20260414    10:39:41       1    1119773     C     45     35      -      -      -      -   2104      0    python         
 20260414    10:39:43       0    1119772     C     46     36      -      -      -      -   2104      0    python         
 20260414    10:39:43       1    1119773     C     48     38      -      -      -      -   2104      0    python         
 20260414    10:39:44       0    1119772     C     48     37      -      -      -      -   2104      0    python         
 20260414    10:39:44       1    1119773     C     48     38      -      -      -      -   2104      0    python         
 20260414    10:39:45       0    1119772     C     48     38      -      -      -      -   2104      0    python         
