timestamp,index,memory.used(MiB),util.gpu(%),util.mem(%),temp(C),power(W)
2026/04/19 16:51:06.325, 0, 0, 0, 0, 31, 25.72
2026/04/19 16:51:07.329, 0, 0, 0, 0, 31, 25.72
2026/04/19 16:51:08.333, 0, 0, 0, 0, 31, 25.72
2026/04/19 16:51:09.336, 0, 4, 0, 0, 31, 25.72
2026/04/19 16:51:10.340, 0, 4, 0, 0, 31, 25.81
2026/04/19 16:51:11.344, 0, 0, 0, 0, 31, 25.72
2026/04/19 16:51:12.348, 0, 0, 0, 0, 31, 25.81
2026/04/19 16:51:13.355, 0, 0, 0, 0, 31, 25.81
2026/04/19 16:51:14.358, 0, 0, 0, 0, 31, 25.72
2026/04/19 16:51:15.362, 0, 0, 0, 0, 31, 25.72
2026/04/19 16:51:16.366, 0, 0, 0, 0, 31, 25.72
2026/04/19 16:51:17.374, 0, 0, 0, 0, 31, 25.72
2026/04/19 16:51:18.376, 0, 0, 0, 0, 31, 25.72
2026/04/19 16:51:19.379, 0, 374, 4, 0, 31, 36.80
2026/04/19 16:51:20.382, 0, 1040, 28, 9, 33, 113.84
2026/04/19 16:51:21.385, 0, 1040, 57, 19, 36, 96.55
2026/04/19 16:51:22.389, 0, 1400, 2, 0, 33, 43.19
2026/04/19 16:51:23.392, 0, 1402, 57, 19, 36, 137.02
2026/04/19 16:51:24.396, 0, 1422, 57, 19, 37, 114.01
2026/04/19 16:51:25.400, 0, 1422, 57, 19, 38, 98.69
2026/04/19 16:51:26.404, 0, 1422, 57, 19, 38, 141.36
2026/04/19 16:51:27.408, 0, 1422, 52, 17, 38, 71.34
2026/04/19 16:51:28.411, 0, 1422, 56, 19, 38, 45.62
2026/04/19 16:51:29.415, 0, 1442, 56, 19, 39, 126.41
2026/04/19 16:51:30.419, 0, 1442, 57, 19, 39, 109.39
2026/04/19 16:51:31.423, 0, 1442, 56, 19, 39, 121.08
2026/04/19 16:51:32.426, 0, 1442, 9, 3, 38, 67.00
2026/04/19 16:51:33.432, 0, 1442, 57, 19, 40, 132.76
2026/04/19 16:51:34.436, 0, 1442, 57, 19, 40, 129.99
2026/04/19 16:51:35.439, 0, 1442, 57, 19, 40, 110.41
2026/04/19 16:51:36.443, 0, 1462, 43, 14, 39, 44.65
2026/04/19 16:51:37.446, 0, 1462, 57, 19, 41, 114.65
2026/04/19 16:51:38.449, 0, 1462, 57, 19, 41, 139.45
2026/04/19 16:51:39.453, 0, 1462, 16, 5, 40, 111.37
2026/04/19 16:51:40.456, 0, 1462, 57, 19, 41, 154.27
2026/04/19 16:51:41.459, 0, 1462, 57, 19, 41, 139.04
2026/04/19 16:51:42.462, 0, 1462, 57, 19, 42, 128.74
2026/04/19 16:51:43.465, 0, 1462, 57, 19, 42, 136.91
2026/04/19 16:51:44.469, 0, 1462, 17, 6, 42, 111.30
2026/04/19 16:51:45.472, 0, 1462, 57, 19, 42, 168.10
2026/04/19 16:51:46.474, 0, 1462, 15, 5, 42, 147.61
2026/04/19 16:51:47.478, 0, 1462, 52, 18, 43, 138.60
2026/04/19 16:51:48.481, 0, 1462, 57, 19, 43, 138.59
2026/04/19 16:51:49.485, 0, 1462, 57, 19, 44, 123.55
2026/04/19 16:51:50.488, 0, 1462, 57, 19, 43, 144.49
2026/04/19 16:51:51.492, 0, 1462, 57, 19, 44, 161.41
2026/04/19 16:51:52.495, 0, 1462, 46, 15, 44, 155.24
2026/04/19 16:51:53.498, 0, 1462, 57, 19, 44, 143.13
2026/04/19 16:51:54.504, 0, 1462, 57, 19, 44, 138.08
2026/04/19 16:51:55.507, 0, 1462, 57, 19, 44, 127.99
2026/04/19 16:51:56.510, 0, 1462, 57, 19, 44, 166.94
2026/04/19 16:51:57.513, 0, 1462, 56, 18, 44, 156.43
2026/04/19 16:51:58.518, 0, 1462, 27, 8, 44, 153.32
2026/04/19 16:51:59.522, 0, 1462, 55, 18, 45, 153.51
2026/04/19 16:52:00.526, 0, 1462, 57, 19, 45, 144.34
2026/04/19 16:52:01.530, 0, 1462, 57, 19, 45, 142.92
2026/04/19 16:52:02.534, 0, 1462, 57, 19, 45, 136.22
2026/04/19 16:52:03.538, 0, 1462, 57, 19, 46, 147.71
2026/04/19 16:52:04.540, 0, 1462, 48, 16, 45, 118.80
2026/04/19 16:52:05.543, 0, 1462, 57, 19, 46, 114.38
2026/04/19 16:52:06.549, 0, 1462, 57, 19, 46, 150.36
2026/04/19 16:52:07.553, 0, 1462, 46, 14, 46, 111.28
2026/04/19 16:52:08.557, 0, 1462, 57, 19, 47, 113.22
2026/04/19 16:52:09.559, 0, 1462, 57, 19, 46, 163.13
2026/04/19 16:52:10.562, 0, 1462, 57, 19, 47, 158.56
2026/04/19 16:52:11.566, 0, 1462, 55, 18, 47, 145.09
2026/04/19 16:52:12.570, 0, 1462, 3, 1, 45, 46.57
2026/04/19 16:52:13.574, 0, 1462, 57, 19, 46, 53.94
2026/04/19 16:52:14.577, 0, 1462, 46, 15, 47, 159.31
2026/04/19 16:52:15.581, 0, 1462, 15, 5, 45, 122.44
2026/04/19 16:52:16.585, 0, 1462, 57, 19, 48, 105.04
2026/04/19 16:52:17.591, 0, 1462, 57, 19, 48, 106.65
2026/04/19 16:52:18.593, 0, 1462, 56, 19, 48, 109.37
2026/04/19 16:52:19.602, 0, 1462, 14, 2, 47, 143.74
2026/04/19 16:52:20.606, 0, 1462, 57, 19, 48, 140.24
2026/04/19 16:52:21.609, 0, 1462, 57, 20, 48, 149.05
2026/04/19 16:52:22.613, 0, 1462, 57, 19, 48, 150.91
2026/04/19 16:52:23.617, 0, 1462, 16, 5, 48, 145.76
2026/04/19 16:52:24.620, 0, 1462, 56, 19, 49, 132.33
2026/04/19 16:52:25.625, 0, 1462, 56, 19, 48, 87.15
2026/04/19 16:52:26.628, 0, 1462, 57, 19, 49, 110.21
2026/04/19 16:52:27.632, 0, 1462, 37, 10, 48, 115.71
2026/04/19 16:52:28.635, 0, 1462, 56, 19, 49, 166.61
2026/04/19 16:52:29.639, 0, 1462, 10, 3, 47, 93.07
2026/04/19 16:52:30.642, 0, 1462, 57, 19, 49, 167.25
2026/04/19 16:52:31.646, 0, 1462, 57, 19, 49, 162.31
2026/04/19 16:52:32.650, 0, 1462, 57, 19, 49, 160.76
2026/04/19 16:52:33.654, 0, 1462, 57, 19, 49, 160.76
2026/04/19 16:52:34.658, 0, 1462, 52, 16, 49, 156.81
2026/04/19 16:52:35.664, 0, 1462, 57, 19, 50, 149.11
2026/04/19 16:52:36.671, 0, 1462, 57, 19, 50, 138.34
2026/04/19 16:52:37.674, 0, 1462, 57, 19, 50, 149.15
2026/04/19 16:52:38.678, 0, 1462, 57, 19, 50, 146.80
2026/04/19 16:52:39.682, 0, 1462, 57, 19, 50, 126.91
2026/04/19 16:52:40.686, 0, 1462, 57, 19, 50, 102.78
2026/04/19 16:52:41.690, 0, 1462, 57, 19, 50, 145.61
2026/04/19 16:52:42.693, 0, 1462, 46, 14, 50, 156.21
2026/04/19 16:52:43.697, 0, 1462, 57, 19, 50, 167.44
2026/04/19 16:52:44.701, 0, 1462, 57, 19, 50, 167.50
2026/04/19 16:52:45.707, 0, 1462, 57, 19, 51, 161.81
2026/04/19 16:52:46.711, 0, 1462, 57, 19, 50, 170.43
2026/04/19 16:52:47.715, 0, 1462, 45, 16, 49, 48.62
2026/04/19 16:52:48.718, 0, 1462, 57, 19, 51, 165.82
2026/04/19 16:52:49.722, 0, 1462, 47, 15, 50, 163.58
2026/04/19 16:52:50.726, 0, 1462, 57, 19, 51, 154.78
2026/04/19 16:52:51.730, 0, 1462, 57, 19, 51, 144.10
2026/04/19 16:52:52.733, 0, 1462, 57, 19, 51, 120.39
2026/04/19 16:52:53.738, 0, 1462, 56, 19, 52, 139.96
2026/04/19 16:52:54.741, 0, 1462, 54, 18, 50, 50.26
2026/04/19 16:52:55.745, 0, 1462, 57, 19, 52, 107.69
2026/04/19 16:52:56.751, 0, 1462, 57, 19, 51, 110.54
2026/04/19 16:52:57.755, 0, 1462, 46, 14, 51, 114.53
2026/04/19 16:52:58.759, 0, 1462, 57, 19, 52, 152.57
2026/04/19 16:52:59.763, 0, 1462, 57, 19, 52, 162.15
2026/04/19 16:53:00.766, 0, 1462, 57, 19, 52, 169.10
2026/04/19 16:53:01.770, 0, 1462, 57, 19, 52, 171.27
2026/04/19 16:53:02.774, 0, 1462, 13, 3, 50, 48.61
2026/04/19 16:53:03.778, 0, 1462, 57, 19, 52, 135.55
2026/04/19 16:53:04.782, 0, 1462, 12, 3, 51, 134.98
2026/04/19 16:53:05.785, 0, 1462, 57, 19, 52, 130.86
2026/04/19 16:53:06.789, 0, 1462, 57, 19, 52, 118.73
2026/04/19 16:53:07.793, 0, 1462, 57, 19, 52, 115.71
2026/04/19 16:53:08.797, 0, 4624, 72, 30, 53, 189.31
2026/04/19 16:53:09.801, 0, 4624, 78, 36, 54, 182.21
2026/04/19 16:53:10.805, 0, 4624, 78, 39, 54, 218.69
2026/04/19 16:53:11.808, 0, 4624, 80, 43, 54, 191.57
2026/04/19 16:53:12.812, 0, 4624, 85, 45, 54, 151.38
2026/04/19 16:53:13.816, 0, 4624, 87, 46, 55, 176.45
2026/04/19 16:53:14.821, 0, 4624, 82, 41, 55, 221.71
2026/04/19 16:53:15.825, 0, 4624, 74, 34, 56, 216.48
2026/04/19 16:53:16.829, 0, 4624, 73, 31, 56, 189.18
2026/04/19 16:53:17.833, 0, 8406, 20, 8, 52, 49.85
2026/04/19 16:53:18.836, 0, 8410, 78, 41, 55, 207.22
2026/04/19 16:53:19.840, 0, 8410, 85, 44, 55, 165.72
2026/04/19 16:53:20.844, 0, 8410, 86, 46, 56, 152.32
2026/04/19 16:53:21.848, 0, 8410, 82, 42, 57, 224.21
2026/04/19 16:53:22.852, 0, 8410, 74, 35, 56, 220.69
2026/04/19 16:53:23.855, 0, 8410, 73, 31, 57, 189.73
2026/04/19 16:53:24.859, 0, 8410, 74, 32, 57, 186.81
2026/04/19 16:53:25.865, 0, 8410, 82, 41, 57, 188.72
2026/04/19 16:53:26.869, 0, 8410, 18, 7, 57, 215.59
2026/04/19 16:53:27.873, 0, 8410, 78, 38, 56, 153.74
2026/04/19 16:53:28.877, 0, 8410, 75, 35, 58, 129.25
2026/04/19 16:53:29.881, 0, 8410, 74, 33, 58, 212.75
2026/04/19 16:53:30.885, 0, 8410, 73, 31, 58, 226.88
