pmon_snapshot(pid,sm,mem,enc,dec,command) - sampled every 1s
#Date        Time         gpu         pid   type     sm    mem    enc    dec    jpg    ofa     fb   ccpm    command 
#YYYYMMDD    HH:MM:SS     Idx           #    C/G      %      %      %      %      %      %     MB     MB    name 
 20260419    16:51:06       0          -     -      -      -      -      -      -      -      -      -    -              
 20260419    16:51:07       0          -     -      -      -      -      -      -      -      -      -    -              
 20260419    16:51:08       0          -     -      -      -      -      -      -      -      -      -    -              
 20260419    16:51:09       0          -     -      -      -      -      -      -      -      -      -    -              
 20260419    16:51:10       0          -     -      -      -      -      -      -      -      -      -    -              
 20260419    16:51:11       0          -     -      -      -      -      -      -      -      -      -    -              
 20260419    16:51:12       0          -     -      -      -      -      -      -      -      -      -    -              
 20260419    16:51:13       0          -     -      -      -      -      -      -      -      -      -    -              
 20260419    16:51:14       0          -     -      -      -      -      -      -      -      -      -    -              
 20260419    16:51:15       0          -     -      -      -      -      -      -      -      -      -    -              
 20260419    16:51:16       0          -     -      -      -      -      -      -      -      -      -    -              
 20260419    16:51:17       0          -     -      -      -      -      -      -      -      -      -    -              
 20260419    16:51:18       0          -     -      -      -      -      -      -      -      -      -    -              
 20260419    16:51:19       0    2163741     C      1      0      -      -      -      -    370      0    python         
 20260419    16:51:20       0    2163741     C     19      6      -      -      -      -   1036      0    python         
 20260419    16:51:21       0    2163741     C     46     14      -      -      -      -   1396      0    python         
 20260419    16:51:22       0    2163741     C     31     10      -      -      -      -   1398      0    python         
 20260419    16:51:24       0    2163741     C     55     18      -      -      -      -   1418      0    python         
 20260419    16:51:25       0    2163741     C     47     15      -      -      -      -   1418      0    python         
 20260419    16:51:26       0    2163741     C     54     17      -      -      -      -   1418      0    python         
 20260419    16:51:27       0    2163741     C     50     16      -      -      -      -   1418      0    python         
 20260419    16:51:28       0    2163741     C     54     17      -      -      -      -   1418      0    python         
 20260419    16:51:29       0    2163741     C     48     15      -      -      -      -   1438      0    python         
