pmon_snapshot(pid,sm,mem,enc,dec,command) - sampled every 1s
#Date        Time         gpu         pid   type     sm    mem    enc    dec    jpg    ofa     fb   ccpm    command 
#YYYYMMDD    HH:MM:SS     Idx           #    C/G      %      %      %      %      %      %     MB     MB    name 
 20260331    19:49:38       0          -     -      -      -      -      -      -      -      -      -    -              
 20260331    19:49:38       1          -     -      -      -      -      -      -      -      -      -    -              
 20260331    19:49:39       0          -     -      -      -      -      -      -      -      -      -    -              
 20260331    19:49:39       1          -     -      -      -      -      -      -      -      -      -    -              
 20260331    19:49:40       0          -     -      -      -      -      -      -      -      -      -    -              
 20260331    19:49:40       1          -     -      -      -      -      -      -      -      -      -    -              
 20260331    19:49:41       0          -     -      -      -      -      -      -      -      -      -    -              
 20260331    19:49:41       1          -     -      -      -      -      -      -      -      -      -    -              
 20260331    19:49:42       0          -     -      -      -      -      -      -      -      -      -    -              
 20260331    19:49:42       1          -     -      -      -      -      -      -      -      -      -    -              
 20260331    19:49:43       0          -     -      -      -      -      -      -      -      -      -    -              
 20260331    19:49:43       1          -     -      -      -      -      -      -      -      -      -    -              
 20260331    19:49:44       0          -     -      -      -      -      -      -      -      -      -    -              
 20260331    19:49:44       1          -     -      -      -      -      -      -      -      -      -    -              
 20260331    19:49:45       0          -     -      -      -      -      -      -      -      -      -    -              
 20260331    19:49:45       1          -     -      -      -      -      -      -      -      -      -    -              
 20260331    19:49:46       0          -     -      -      -      -      -      -      -      -      -    -              
 20260331    19:49:46       1          -     -      -      -      -      -      -      -      -      -    -              
 20260331    19:49:47       0          -     -      -      -      -      -      -      -      -      -    -              
 20260331    19:49:47       1          -     -      -      -      -      -      -      -      -      -    -              
 20260331    19:49:48       0          -     -      -      -      -      -      -      -      -      -    -              
 20260331    19:49:48       1          -     -      -      -      -      -      -      -      -      -    -              
 20260331    19:49:49       0          -     -      -      -      -      -      -      -      -      -    -              
 20260331    19:49:49       1          -     -      -      -      -      -      -      -      -      -    -              
 20260331    19:49:50       0          -     -      -      -      -      -      -      -      -      -    -              
 20260331    19:49:50       1          -     -      -      -      -      -      -      -      -      -    -              
 20260331    19:49:52       0          -     -      -      -      -      -      -      -      -      -    -              
 20260331    19:49:52       1          -     -      -      -      -      -      -      -      -      -    -              
 20260331    19:49:53       0          -     -      -      -      -      -      -      -      -      -    -              
 20260331    19:49:53       1          -     -      -      -      -      -      -      -      -      -    -              
 20260331    19:49:54       0          -     -      -      -      -      -      -      -      -      -    -              
 20260331    19:49:54       1          -     -      -      -      -      -      -      -      -      -    -              
 20260331    19:49:55       0          -     -      -      -      -      -      -      -      -      -    -              
 20260331    19:49:55       1          -     -      -      -      -      -      -      -      -      -    -              
 20260331    19:49:56       0          -     -      -      -      -      -      -      -      -      -    -              
