timestamp,index,memory.used(MiB),util.gpu(%),util.mem(%),temp(C),power(W)
2026/04/14 10:46:05.497, 0, 0, 0, 0, 43, 42.60
2026/04/14 10:46:05.500, 1, 0, 0, 0, 45, 45.46
2026/04/14 10:46:06.505, 0, 0, 0, 0, 43, 42.41
2026/04/14 10:46:06.508, 1, 0, 0, 0, 45, 45.17
2026/04/14 10:46:07.511, 0, 0, 0, 0, 42, 26.89
2026/04/14 10:46:07.516, 1, 0, 0, 0, 43, 28.22
2026/04/14 10:46:08.518, 0, 0, 0, 0, 41, 26.79
2026/04/14 10:46:08.521, 1, 0, 0, 0, 43, 28.12
2026/04/14 10:46:09.525, 0, 4, 0, 0, 41, 26.59
2026/04/14 10:46:09.528, 1, 4, 0, 0, 42, 27.63
2026/04/14 10:46:10.531, 0, 0, 0, 0, 41, 25.91
2026/04/14 10:46:10.534, 1, 0, 0, 0, 42, 27.43
2026/04/14 10:46:11.541, 0, 0, 0, 0, 41, 25.91
2026/04/14 10:46:11.548, 1, 0, 0, 0, 42, 27.33
2026/04/14 10:46:12.551, 0, 0, 0, 0, 40, 25.81
2026/04/14 10:46:12.554, 1, 0, 0, 0, 41, 27.33
2026/04/14 10:46:13.557, 0, 0, 0, 0, 40, 25.72
2026/04/14 10:46:13.559, 1, 0, 0, 0, 41, 27.24
2026/04/14 10:46:14.569, 0, 0, 0, 0, 40, 25.72
2026/04/14 10:46:14.576, 1, 0, 0, 0, 41, 27.14
2026/04/14 10:46:15.578, 0, 0, 0, 0, 40, 25.52
2026/04/14 10:46:15.581, 1, 0, 0, 0, 41, 27.04
2026/04/14 10:46:16.585, 0, 4, 0, 0, 39, 25.52
2026/04/14 10:46:16.588, 1, 4, 0, 0, 40, 27.04
2026/04/14 10:46:17.596, 0, 4, 0, 0, 39, 25.52
2026/04/14 10:46:17.602, 1, 4, 0, 0, 40, 26.94
2026/04/14 10:46:18.604, 0, 62, 0, 0, 39, 33.88
2026/04/14 10:46:18.607, 1, 4, 0, 0, 40, 26.94
2026/04/14 10:46:19.611, 0, 660, 0, 0, 39, 38.93
2026/04/14 10:46:19.614, 1, 4, 0, 0, 40, 26.94
2026/04/14 10:46:20.617, 0, 1368, 47, 36, 41, 72.40
2026/04/14 10:46:20.619, 1, 4, 0, 0, 40, 26.84
2026/04/14 10:46:21.622, 0, 1368, 49, 39, 41, 80.68
2026/04/14 10:46:21.625, 1, 4, 0, 0, 39, 26.74
2026/04/14 10:46:22.632, 0, 1368, 52, 41, 42, 109.54
2026/04/14 10:46:22.635, 1, 4, 0, 0, 39, 26.63
2026/04/14 10:46:23.638, 0, 1368, 54, 42, 42, 89.22
2026/04/14 10:46:23.641, 1, 4, 0, 0, 39, 26.64
2026/04/14 10:46:24.644, 0, 1368, 52, 42, 42, 73.17
2026/04/14 10:46:24.646, 1, 4, 0, 0, 39, 26.64
2026/04/14 10:46:25.649, 0, 1368, 49, 38, 42, 90.13
2026/04/14 10:46:25.652, 1, 4, 0, 0, 39, 26.64
2026/04/14 10:46:26.655, 0, 1368, 52, 42, 42, 108.74
2026/04/14 10:46:26.660, 1, 4, 0, 0, 39, 26.64
2026/04/14 10:46:27.667, 0, 1368, 52, 40, 42, 88.20
2026/04/14 10:46:27.670, 1, 4, 0, 0, 38, 26.54
2026/04/14 10:46:28.672, 0, 1368, 54, 43, 42, 79.99
2026/04/14 10:46:28.675, 1, 4, 0, 0, 38, 26.44
2026/04/14 10:46:29.679, 0, 2106, 51, 45, 42, 99.14
2026/04/14 10:46:29.682, 1, 4, 0, 0, 38, 26.44
2026/04/14 10:46:30.684, 0, 2106, 51, 40, 42, 79.95
2026/04/14 10:46:30.688, 1, 4, 0, 0, 38, 26.44
2026/04/14 10:46:31.691, 0, 2106, 48, 37, 42, 109.90
2026/04/14 10:46:31.694, 1, 4, 0, 0, 38, 26.35
2026/04/14 10:46:32.697, 0, 2106, 49, 39, 42, 109.81
2026/04/14 10:46:32.699, 1, 4, 0, 0, 38, 26.25
2026/04/14 10:46:33.704, 0, 2106, 52, 41, 42, 76.36
2026/04/14 10:46:33.706, 1, 4, 0, 0, 37, 26.35
2026/04/14 10:46:34.710, 0, 2106, 53, 42, 42, 85.10
2026/04/14 10:46:34.712, 1, 4, 0, 0, 37, 26.24
2026/04/14 10:46:35.715, 0, 2106, 53, 42, 42, 111.16
2026/04/14 10:46:35.720, 1, 4, 0, 0, 37, 26.25
2026/04/14 10:46:36.722, 0, 2106, 55, 43, 42, 82.40
2026/04/14 10:46:36.725, 1, 4, 0, 0, 37, 26.15
2026/04/14 10:46:37.729, 0, 2106, 55, 44, 42, 112.58
2026/04/14 10:46:37.732, 1, 4, 0, 0, 37, 26.15
2026/04/14 10:46:38.735, 0, 2106, 56, 43, 42, 82.72
2026/04/14 10:46:38.738, 1, 4, 0, 0, 37, 26.15
2026/04/14 10:46:39.742, 0, 2108, 51, 44, 42, 113.14
2026/04/14 10:46:39.745, 1, 4, 0, 0, 37, 26.15
2026/04/14 10:46:40.748, 0, 2108, 55, 43, 43, 74.80
2026/04/14 10:46:40.751, 1, 4, 0, 0, 37, 26.15
2026/04/14 10:46:41.760, 0, 2108, 54, 42, 43, 114.22
2026/04/14 10:46:41.763, 1, 4, 0, 0, 36, 26.15
2026/04/14 10:46:42.766, 0, 2108, 55, 45, 42, 82.72
2026/04/14 10:46:42.769, 1, 4, 0, 0, 36, 26.06
2026/04/14 10:46:43.777, 0, 2108, 57, 44, 43, 110.25
2026/04/14 10:46:43.782, 1, 4, 0, 0, 36, 25.96
2026/04/14 10:46:44.787, 0, 2108, 54, 43, 43, 103.02
2026/04/14 10:46:44.790, 1, 4, 0, 0, 36, 26.06
2026/04/14 10:46:45.797, 0, 2108, 58, 45, 43, 97.62
2026/04/14 10:46:45.800, 1, 4, 0, 0, 36, 25.96
2026/04/14 10:46:46.808, 0, 2108, 53, 42, 43, 84.14
2026/04/14 10:46:46.811, 1, 4, 0, 0, 36, 25.86
2026/04/14 10:46:47.820, 0, 2108, 59, 47, 43, 76.16
2026/04/14 10:46:47.823, 1, 4, 0, 0, 36, 25.96
2026/04/14 10:46:48.831, 0, 2108, 51, 44, 43, 82.50
2026/04/14 10:46:48.835, 1, 4, 0, 0, 36, 25.76
2026/04/14 10:46:49.841, 0, 2108, 57, 45, 43, 75.00
2026/04/14 10:46:49.844, 1, 4, 0, 0, 35, 25.86
2026/04/14 10:46:50.848, 0, 2108, 54, 43, 43, 113.95
2026/04/14 10:46:50.850, 1, 4, 0, 0, 35, 25.76
2026/04/14 10:46:51.853, 0, 2108, 55, 43, 43, 74.82
2026/04/14 10:46:51.856, 1, 4, 0, 0, 35, 25.76
2026/04/14 10:46:52.859, 0, 2108, 56, 44, 43, 115.35
2026/04/14 10:46:52.864, 1, 4, 0, 0, 35, 25.76
2026/04/14 10:46:53.868, 0, 2108, 54, 42, 43, 72.97
2026/04/14 10:46:53.871, 1, 4, 0, 0, 35, 25.76
2026/04/14 10:46:54.880, 0, 2108, 56, 44, 43, 113.33
2026/04/14 10:46:54.882, 1, 4, 0, 0, 35, 25.76
2026/04/14 10:46:55.885, 0, 2108, 54, 43, 43, 80.85
2026/04/14 10:46:55.888, 1, 4, 0, 0, 35, 25.76
2026/04/14 10:46:56.891, 0, 2108, 58, 45, 43, 117.02
2026/04/14 10:46:56.893, 1, 4, 0, 0, 35, 25.76
2026/04/14 10:46:57.898, 0, 2108, 55, 44, 43, 71.92
2026/04/14 10:46:57.901, 1, 4, 0, 0, 35, 25.67
2026/04/14 10:46:58.909, 0, 2108, 56, 43, 43, 113.66
2026/04/14 10:46:58.911, 1, 4, 0, 0, 34, 25.67
2026/04/14 10:46:59.915, 0, 2108, 56, 44, 43, 71.71
2026/04/14 10:46:59.920, 1, 4, 0, 0, 34, 25.67
2026/04/14 10:47:00.923, 0, 2108, 54, 42, 43, 115.84
2026/04/14 10:47:00.926, 1, 4, 0, 0, 34, 25.67
2026/04/14 10:47:01.930, 0, 2108, 56, 44, 43, 70.64
2026/04/14 10:47:01.933, 1, 4, 0, 0, 34, 25.67
2026/04/14 10:47:02.939, 0, 2108, 54, 43, 43, 114.59
2026/04/14 10:47:02.941, 1, 4, 0, 0, 34, 25.47
2026/04/14 10:47:03.944, 0, 2108, 58, 46, 43, 75.17
2026/04/14 10:47:03.949, 1, 4, 0, 0, 34, 25.57
2026/04/14 10:47:04.952, 0, 2108, 54, 43, 43, 115.36
2026/04/14 10:47:04.955, 1, 4, 0, 0, 34, 25.57
2026/04/14 10:47:05.958, 0, 2108, 59, 47, 43, 74.33
2026/04/14 10:47:05.960, 1, 4, 0, 0, 34, 25.47
2026/04/14 10:47:06.968, 0, 2108, 52, 40, 43, 103.24
2026/04/14 10:47:06.971, 1, 4, 0, 0, 34, 25.57
2026/04/14 10:47:07.974, 0, 2108, 42, 35, 43, 81.33
2026/04/14 10:47:07.978, 1, 4, 0, 0, 34, 25.47
2026/04/14 10:47:08.981, 0, 2108, 45, 35, 43, 91.08
2026/04/14 10:47:08.984, 1, 4, 0, 0, 34, 25.47
2026/04/14 10:47:09.986, 0, 2108, 51, 41, 43, 93.47
2026/04/14 10:47:09.989, 1, 4, 0, 0, 33, 25.47
2026/04/14 10:47:10.998, 0, 2108, 50, 39, 43, 108.24
2026/04/14 10:47:11.001, 1, 4, 0, 0, 33, 25.47
2026/04/14 10:47:12.004, 0, 2108, 53, 43, 43, 71.91
2026/04/14 10:47:12.007, 1, 4, 0, 0, 33, 25.38
2026/04/14 10:47:13.011, 0, 2108, 50, 39, 43, 104.60
2026/04/14 10:47:13.013, 1, 4, 0, 0, 33, 25.27
2026/04/14 10:47:14.016, 0, 2108, 51, 42, 43, 109.96
2026/04/14 10:47:14.019, 1, 4, 0, 0, 33, 25.37
2026/04/14 10:47:15.027, 0, 2108, 46, 35, 43, 91.14
2026/04/14 10:47:15.030, 1, 4, 0, 0, 33, 25.47
2026/04/14 10:47:16.033, 0, 2108, 49, 39, 43, 104.11
2026/04/14 10:47:16.036, 1, 4, 0, 0, 33, 25.47
2026/04/14 10:47:17.039, 0, 2108, 52, 42, 43, 109.47
2026/04/14 10:47:17.042, 1, 4, 0, 0, 33, 25.37
2026/04/14 10:47:18.045, 0, 2108, 47, 39, 43, 70.64
2026/04/14 10:47:18.048, 1, 4, 0, 0, 33, 25.27
2026/04/14 10:47:19.056, 0, 2108, 52, 42, 43, 91.02
2026/04/14 10:47:19.062, 1, 4, 0, 0, 33, 25.37
2026/04/14 10:47:20.065, 0, 2108, 48, 37, 43, 110.45
2026/04/14 10:47:20.068, 1, 4, 0, 0, 33, 25.37
2026/04/14 10:47:21.071, 0, 2108, 51, 41, 43, 96.10
2026/04/14 10:47:21.073, 1, 4, 0, 0, 33, 25.28
2026/04/14 10:47:22.082, 0, 2108, 52, 42, 43, 76.93
2026/04/14 10:47:22.085, 1, 4, 0, 0, 33, 25.27
2026/04/14 10:47:23.088, 0, 2108, 53, 41, 43, 89.71
2026/04/14 10:47:23.092, 1, 4, 0, 0, 33, 25.37
2026/04/14 10:47:24.097, 0, 2108, 54, 43, 43, 110.19
2026/04/14 10:47:24.100, 1, 4, 0, 0, 33, 25.47
2026/04/14 10:47:25.103, 0, 2108, 47, 36, 43, 96.46
2026/04/14 10:47:25.106, 1, 4, 0, 0, 32, 25.47
2026/04/14 10:47:26.109, 0, 2108, 49, 40, 43, 68.13
2026/04/14 10:47:26.111, 1, 4, 0, 0, 32, 25.38
2026/04/14 10:47:27.114, 0, 2108, 50, 40, 43, 84.01
2026/04/14 10:47:27.117, 1, 4, 0, 0, 32, 25.38
2026/04/14 10:47:28.125, 0, 2128, 48, 41, 43, 69.14
2026/04/14 10:47:28.128, 1, 4, 0, 0, 32, 25.38
2026/04/14 10:47:29.141, 0, 2128, 49, 37, 43, 95.20
2026/04/14 10:47:29.147, 1, 4, 0, 0, 32, 25.37
2026/04/14 10:47:30.149, 0, 2128, 54, 43, 43, 111.22
2026/04/14 10:47:30.152, 1, 4, 0, 0, 32, 25.37
2026/04/14 10:47:31.155, 0, 2128, 56, 44, 43, 86.76
2026/04/14 10:47:31.158, 1, 4, 0, 0, 32, 25.36
2026/04/14 10:47:32.161, 0, 2128, 54, 42, 43, 112.79
2026/04/14 10:47:32.163, 1, 4, 0, 0, 32, 25.37
2026/04/14 10:47:33.166, 0, 2128, 57, 45, 43, 85.39
2026/04/14 10:47:33.169, 1, 4, 0, 0, 32, 25.27
2026/04/14 10:47:34.177, 0, 2128, 54, 43, 44, 108.71
2026/04/14 10:47:34.180, 1, 4, 0, 0, 32, 25.37
2026/04/14 10:47:35.183, 0, 2128, 58, 46, 43, 103.54
2026/04/14 10:47:35.186, 1, 4, 0, 0, 32, 25.38
2026/04/14 10:47:36.190, 0, 2128, 54, 43, 43, 109.71
2026/04/14 10:47:36.193, 1, 4, 0, 0, 32, 25.37
