timestamp,index,memory.used(MiB),util.gpu(%),util.mem(%),temp(C),power(W)
2026/03/30 12:13:00.878, 0, 0, 0, 0, 29, 63.03
2026/03/30 12:13:01.884, 0, 0, 0, 0, 29, 75.97
2026/03/30 12:13:02.884, 0, 0, 0, 0, 29, 55.99
2026/03/30 12:13:03.885, 0, 0, 0, 0, 29, 55.40
2026/03/30 12:13:04.887, 0, 0, 0, 0, 29, 55.40
2026/03/30 12:13:05.970, 0, 0, 0, 0, 29, 55.40
2026/03/30 12:13:06.971, 0, 0, 0, 0, 29, 55.40
2026/03/30 12:13:07.972, 0, 0, 0, 0, 29, 55.45
2026/03/30 12:13:08.973, 0, 0, 0, 0, 29, 55.40
2026/03/30 12:13:09.975, 0, 0, 0, 0, 29, 55.40
2026/03/30 12:13:10.977, 0, 4, 0, 0, 29, 55.40
2026/03/30 12:13:11.978, 0, 18, 0, 0, 29, 61.02
2026/03/30 12:13:12.979, 0, 85, 0, 0, 29, 61.02
2026/03/30 12:13:13.979, 0, 473, 0, 0, 29, 61.02
2026/03/30 12:13:14.979, 0, 473, 0, 0, 29, 60.69
2026/03/30 12:13:15.980, 0, 473, 0, 0, 29, 61.02
2026/03/30 12:13:16.980, 0, 559, 0, 0, 29, 61.02
2026/03/30 12:13:17.980, 0, 1067, 34, 14, 30, 74.50
2026/03/30 12:13:18.981, 0, 1351, 34, 14, 30, 84.16
2026/03/30 12:13:19.981, 0, 1431, 34, 14, 30, 62.16
2026/03/30 12:13:20.981, 0, 1431, 24, 9, 30, 87.37
2026/03/30 12:13:21.981, 0, 1431, 34, 14, 30, 88.25
2026/03/30 12:13:22.982, 0, 1431, 34, 14, 30, 83.28
2026/03/30 12:13:23.982, 0, 1431, 33, 13, 30, 87.10
2026/03/30 12:13:24.982, 0, 1431, 30, 12, 31, 90.59
2026/03/30 12:13:25.983, 0, 1431, 32, 13, 31, 87.70
2026/03/30 12:13:26.985, 0, 1431, 23, 8, 31, 62.44
2026/03/30 12:13:28.071, 0, 1431, 32, 13, 31, 87.10
2026/03/30 12:13:29.071, 0, 1431, 33, 14, 31, 88.85
2026/03/30 12:13:30.073, 0, 1431, 35, 14, 31, 88.85
2026/03/30 12:13:31.074, 0, 1431, 24, 9, 31, 82.68
2026/03/30 12:13:32.076, 0, 1431, 33, 13, 31, 88.85
2026/03/30 12:13:33.077, 0, 1431, 33, 13, 31, 81.21
2026/03/30 12:13:34.088, 0, 1431, 34, 14, 30, 63.36
2026/03/30 12:13:35.171, 0, 1431, 28, 11, 31, 86.22
2026/03/30 12:13:36.172, 0, 1431, 16, 7, 31, 82.40
2026/03/30 12:13:37.173, 0, 1431, 32, 13, 31, 86.50
2026/03/30 12:13:38.173, 0, 1431, 35, 14, 31, 63.64
2026/03/30 12:13:39.173, 0, 1491, 29, 11, 31, 85.36
2026/03/30 12:13:40.174, 0, 1491, 10, 3, 31, 87.98
2026/03/30 12:13:41.174, 0, 1491, 33, 14, 31, 88.25
2026/03/30 12:13:42.174, 0, 1491, 32, 13, 31, 85.36
2026/03/30 12:13:43.175, 0, 1491, 24, 8, 31, 88.85
2026/03/30 12:13:44.175, 0, 1491, 33, 13, 31, 90.05
2026/03/30 12:13:45.175, 0, 1491, 34, 14, 31, 63.03
2026/03/30 12:13:46.175, 0, 1491, 34, 14, 31, 86.22
2026/03/30 12:13:47.176, 0, 1491, 23, 8, 31, 85.90
2026/03/30 12:13:48.176, 0, 1491, 29, 12, 31, 88.57
2026/03/30 12:13:49.179, 0, 1491, 30, 11, 31, 70.40
2026/03/30 12:13:50.270, 0, 1491, 33, 13, 31, 89.45
2026/03/30 12:13:51.274, 0, 1491, 33, 13, 31, 85.02
2026/03/30 12:13:52.276, 0, 1491, 35, 14, 31, 85.36
2026/03/30 12:13:53.276, 0, 1491, 22, 8, 31, 87.98
2026/03/30 12:13:54.277, 0, 1491, 34, 14, 31, 86.22
2026/03/30 12:13:55.279, 0, 1491, 33, 14, 32, 93.26
2026/03/30 12:13:56.282, 0, 1491, 23, 9, 31, 61.29
2026/03/30 12:13:57.284, 0, 1491, 23, 8, 31, 80.66
2026/03/30 12:13:58.284, 0, 1491, 33, 14, 32, 85.63
2026/03/30 12:13:59.284, 0, 1491, 31, 13, 32, 83.55
2026/03/30 12:14:00.284, 0, 1491, 26, 10, 32, 79.19
2026/03/30 12:14:01.285, 0, 1491, 34, 13, 32, 90.59
2026/03/30 12:14:02.285, 0, 1491, 33, 13, 32, 86.83
2026/03/30 12:14:03.285, 0, 1491, 35, 14, 32, 89.17
2026/03/30 12:14:04.285, 0, 1491, 8, 2, 31, 61.88
2026/03/30 12:14:05.286, 0, 1491, 34, 14, 32, 86.22
2026/03/30 12:14:06.286, 0, 1491, 33, 14, 32, 88.85
2026/03/30 12:14:07.286, 0, 1491, 28, 11, 31, 84.75
2026/03/30 12:14:08.287, 0, 1491, 30, 12, 32, 76.51
2026/03/30 12:14:09.287, 0, 1491, 33, 13, 32, 84.48
2026/03/30 12:14:10.370, 0, 1491, 35, 14, 32, 90.59
2026/03/30 12:14:11.372, 0, 1491, 25, 10, 32, 86.22
2026/03/30 12:14:12.375, 0, 1491, 34, 14, 32, 85.63
2026/03/30 12:14:13.375, 0, 1491, 33, 14, 32, 87.98
2026/03/30 12:14:14.377, 0, 1491, 34, 14, 31, 62.44
2026/03/30 12:14:15.378, 0, 1491, 29, 12, 32, 84.48
2026/03/30 12:14:16.378, 0, 1491, 23, 9, 32, 87.70
2026/03/30 12:14:17.380, 0, 1491, 31, 13, 32, 90.32
2026/03/30 12:14:18.380, 0, 1491, 31, 13, 32, 63.64
2026/03/30 12:14:19.382, 0, 1491, 34, 14, 32, 91.19
2026/03/30 12:14:20.382, 0, 1491, 31, 12, 32, 89.45
2026/03/30 12:14:21.382, 0, 1491, 33, 13, 32, 78.59
2026/03/30 12:14:22.383, 0, 1491, 30, 12, 31, 65.71
2026/03/30 12:14:23.383, 0, 1491, 27, 10, 32, 90.32
2026/03/30 12:14:24.383, 0, 1491, 26, 11, 32, 89.17
2026/03/30 12:14:25.384, 0, 1491, 33, 14, 32, 74.50
2026/03/30 12:14:26.384, 0, 1491, 33, 13, 32, 85.90
2026/03/30 12:14:27.384, 0, 1491, 16, 6, 32, 87.37
2026/03/30 12:14:28.384, 0, 1491, 33, 14, 32, 91.79
2026/03/30 12:14:29.385, 0, 1491, 33, 14, 32, 64.23
2026/03/30 12:14:30.385, 0, 1491, 17, 6, 32, 85.90
2026/03/30 12:14:31.385, 0, 1491, 30, 12, 32, 88.57
2026/03/30 12:14:32.386, 0, 1491, 33, 14, 32, 90.92
2026/03/30 12:14:33.386, 0, 1491, 32, 12, 32, 62.76
